mean_degree,p,SRI,RE
8,0.0,0.0,0.0
8,0.01,3e-05,0.0
8,0.02,5e-05,0.00034104642176561263
8,0.03,6e-05,0.0
8,0.04,8e-05,0.0
8,0.05,8e-05,0.0
8,0.06,0.00017,0.0
8,0.07,0.00024,0.0
8,0.08,0.00035,0.00034104642176561263
8,0.09,0.00065,0.0
8,0.1,0.00085,0.0
8,0.11,0.00086,0.00034104642176561263
8,0.12,0.00179,0.0
8,0.13,0.00927,0.00034104642176561263
8,0.14,0.03241,0.0
8,0.15,0.04856,0.0
8,0.16,0.06449,0.0
8,0.17,0.08101,0.0
8,0.18,0.10093,0.0
8,0.19,0.11459,0.00034104642176561263
8,0.2,0.129,0.0
8,0.21,0.14777,0.0
8,0.22,0.15837,0.0
8,0.23,0.17125,0.0
8,0.24,0.18411,0.0
8,0.25,0.20021,0.0
8,0.26,0.21591,0.0
8,0.27,0.22577,0.0
8,0.28,0.2388,0.0
8,0.29,0.25665,0.0
8,0.3,0.26253,0.0
8,0.31,0.27648,0.0
8,0.32,0.28802,0.0
8,0.33,0.2996,0.0
8,0.34,0.31148,0.0
8,0.35000000000000003,0.32468,0.0
8,0.36,0.33581,0.0
8,0.37,0.34538,0.0
8,0.38,0.35998,0.0
8,0.39,0.37087,0.0
8,0.4,0.38204,0.0
8,0.41000000000000003,0.39387,0.0
8,0.42,0.40463,0.0
8,0.43,0.41419,0.0
8,0.44,0.42742,0.0
8,0.45,0.43698,0.0
8,0.46,0.44573,0.0
8,0.47000000000000003,0.46262,0.0
8,0.48,0.46733,0.0
8,0.49,0.48025,0.0
8,0.5,0.4899,0.0
10,0.0,0.0,0.0
10,0.01,3e-05,0.0
10,0.02,6e-05,0.0
10,0.03,0.0001,0.0
10,0.04,9e-05,0.0
10,0.05,0.00015,0.0
10,0.06,0.0003,0.0
10,0.07,0.00043,0.0
10,0.08,0.00033,0.0
10,0.09,0.00111,0.0
10,0.1,0.00276,0.0
10,0.11,0.01884,0.0
10,0.12,0.04049,0.0
10,0.13,0.05264,0.0
10,0.14,0.0684,0.0
10,0.15,0.08539,0.0
10,0.16,0.10058,0.0
10,0.17,0.11733,0.0
10,0.18,0.1337,0.0
10,0.19,0.14378,0.0
10,0.2,0.15714,0.0
10,0.21,0.1749,0.0
10,0.22,0.18927,0.0
10,0.23,0.19772,0.0
10,0.24,0.20944,0.0
10,0.25,0.22404,0.0
10,0.26,0.23523,0.0
10,0.27,0.24968,0.0
10,0.28,0.26031,0.0
10,0.29,0.27137,0.0
10,0.3,0.28299,0.0
10,0.31,0.29496,0.0
10,0.32,0.30436,0.0
10,0.33,0.31745,0.0
10,0.34,0.32894,0.0
10,0.35000000000000003,0.33903,0.0
10,0.36,0.34849,0.0
10,0.37,0.35828,0.0
10,0.38,0.37124,0.0
10,0.39,0.37986,0.0
10,0.4,0.39258,0.0
10,0.41000000000000003,0.40387,0.0
10,0.42,0.41307,0.0
10,0.43,0.42419,0.0
10,0.44,0.43396,0.0
10,0.45,0.4429,0.0
10,0.46,0.45542,0.0
10,0.47000000000000003,0.46637,0.0
10,0.48,0.47625,0.0
10,0.49,0.48922,0.0
10,0.5,0.4962,0.0
12,0.0,0.0,0.0
12,0.01,3e-05,0.0
12,0.02,6e-05,0.0
12,0.03,0.00011,0.0
12,0.04,0.00018,0.0
12,0.05,0.0002,0.0
12,0.06,0.00041,0.0
12,0.07,0.00047,0.0
12,0.08,0.00442,0.0
12,0.09,0.00694,0.0
12,0.1,0.02826,0.0
12,0.11,0.04805,0.0
12,0.12,0.06584,0.0
12,0.13,0.08025,0.0
12,0.14,0.09503,0.0
12,0.15,0.10779,0.0
12,0.16,0.12452,0.0
12,0.17,0.13681,0.0
12,0.18,0.14784,0.0
12,0.19,0.16302,0.0
12,0.2,0.17947,0.0
12,0.21,0.18788,0.0
12,0.22,0.20106,0.0
12,0.23,0.21265,0.0
12,0.24,0.22515,0.0
12,0.25,0.23658,0.0
12,0.26,0.24436,0.0
12,0.27,0.25963,0.0
12,0.28,0.26787,0.0
12,0.29,0.28036,0.0
12,0.3,0.28759,0.0
12,0.31,0.29918,0.0
12,0.32,0.3112,0.0
12,0.33,0.32341,0.0
12,0.34,0.33369,0.0
12,0.35000000000000003,0.34413,0.0
12,0.36,0.35853,0.0
12,0.37,0.36552,0.0
12,0.38,0.37408,0.0
12,0.39,0.38629,0.0
12,0.4,0.3988,0.0
12,0.41000000000000003,0.40513,0.0
12,0.42,0.4179,0.0
12,0.43,0.42742,0.0
12,0.44,0.43464,0.0
12,0.45,0.44627,0.0
12,0.46,0.45876,0.0
12,0.47000000000000003,0.46762,0.0
12,0.48,0.47891,0.0
12,0.49,0.48649,0.0
12,0.5,0.49776,0.0
